id,game_no,game_name,game_code,type,cost_price,tax,sale_price,date_of_sale
1,96,GAME 96ZZZZZZZZZZZZZ,G96ZZ,1,29.47,2.65,35.36,2024-04-15 03:44:46
2,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,80.67,7.26,96.80,2024-04-18 22:17:40
3,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,1,32.69,2.94,39.23,2024-04-14 21:33:29
4,82,GAME 82ZZZZZZZZZZZZZ,G82ZZ,2,89.83,8.08,107.80,2024-04-12 09:13:03
5,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,1,68.02,6.12,81.62,2024-04-18 05:47:01
6,98,GAME 98ZZZZZZZZZZZZZ,G98ZZ,2,5.88,0.53,7.06,2024-04-16 03:34:14
7,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,2,97.85,8.81,117.42,2024-04-01 04:32:52
8,20,GAME 20ZZZZZZZZZZZZZ,G20ZZ,2,67.48,6.07,80.98,2024-04-07 06:41:31
9,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,41.67,3.75,50.00,2024-04-14 02:25:47
10,97,GAME 97ZZZZZZZZZZZZZ,G97ZZ,1,33.36,3.00,40.03,2024-04-11 14:20:52
11,27,GAME 27ZZZZZZZZZZZZZ,G27ZZ,1,26.06,2.35,31.27,2024-04-29 19:35:51
12,80,GAME 80ZZZZZZZZZZZZZ,G80ZZ,1,46.74,4.21,56.09,2024-04-16 02:11:23
13,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,1,27.90,2.51,33.48,2024-04-19 10:30:23
14,19,GAME 19ZZZZZZZZZZZZZ,G19ZZ,1,75.46,6.79,90.55,2024-04-16 19:40:06
15,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,2,79.71,7.17,95.65,2024-04-05 10:35:48
16,15,GAME 15ZZZZZZZZZZZZZ,G15ZZ,2,5.83,0.52,7.00,2024-04-08 02:46:42
17,28,GAME 28ZZZZZZZZZZZZZ,G28ZZ,1,54.58,4.91,65.50,2024-04-16 20:18:21
18,50,GAME 50ZZZZZZZZZZZZZ,G50ZZ,1,19.46,1.75,23.35,2024-04-14 10:30:08
19,57,GAME 57ZZZZZZZZZZZZZ,G57ZZ,2,72.60,6.53,87.12,2024-04-25 21:58:44
20,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,2,35.91,3.23,43.09,2024-04-25 00:32:12
21,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,1,14.30,1.29,17.16,2024-04-29 15:48:54
22,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,1,61.66,5.55,73.99,2024-04-18 10:37:20
23,53,GAME 53ZZZZZZZZZZZZZ,G53ZZ,1,80.66,7.26,96.79,2024-04-07 05:28:36
24,52,GAME 52ZZZZZZZZZZZZZ,G52ZZ,2,9.57,0.86,11.48,2024-04-13 19:03:34
25,81,GAME 81ZZZZZZZZZZZZZ,G81ZZ,1,67.74,6.10,81.29,2024-04-14 14:46:23
26,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,2,90.98,8.19,109.18,2024-04-09 03:02:40
27,12,GAME 12ZZZZZZZZZZZZZ,G12ZZ,1,90.28,8.13,108.34,2024-04-29 21:05:30
28,85,GAME 85ZZZZZZZZZZZZZ,G85ZZ,2,93.84,8.45,112.61,2024-04-21 22:19:32
29,41,GAME 41ZZZZZZZZZZZZZ,G41ZZ,1,79.33,7.14,95.20,2024-04-12 22:50:28
30,38,GAME 38ZZZZZZZZZZZZZ,G38ZZ,2,39.98,3.60,47.98,2024-04-09 03:06:15
31,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,2,28.36,2.55,34.03,2024-04-27 01:45:41
32,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,2,18.45,1.66,22.14,2024-04-22 18:38:23
33,81,GAME 81ZZZZZZZZZZZZZ,G81ZZ,1,79.18,7.13,95.02,2024-04-20 11:55:15
34,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,62.19,5.60,74.63,2024-04-17 02:53:14
35,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,1,30.14,2.71,36.17,2024-04-24 15:41:44
36,48,GAME 48ZZZZZZZZZZZZZ,G48ZZ,2,24.35,2.19,29.22,2024-04-12 04:44:40
37,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,1,43.88,3.95,52.66,2024-04-13 21:55:43
38,15,GAME 15ZZZZZZZZZZZZZ,G15ZZ,2,7.60,0.68,9.12,2024-04-29 18:52:24
39,49,GAME 49ZZZZZZZZZZZZZ,G49ZZ,1,10.34,0.93,12.41,2024-04-13 18:23:46
40,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,54.34,4.89,65.21,2024-04-20 05:05:35
41,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,2,33.52,3.02,40.22,2024-04-23 08:06:03
42,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,1,53.31,4.80,63.97,2024-04-10 23:17:13
43,10,GAME 10ZZZZZZZZZZZZZ,G10ZZ,2,8.62,0.78,10.34,2024-04-29 21:52:08
44,66,GAME 66ZZZZZZZZZZZZZ,G66ZZ,2,5.58,0.50,6.70,2024-04-02 16:39:57
45,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,1,14.28,1.29,17.14,2024-04-21 08:09:43
46,12,GAME 12ZZZZZZZZZZZZZ,G12ZZ,1,2.57,0.23,3.08,2024-04-29 01:47:37
47,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,83.61,7.52,100.33,2024-04-06 05:33:55
48,5,GAME 5ZZZZZZZZZZZZZZ,G5ZZZ,1,44.05,3.96,52.86,2024-04-18 18:35:44
49,43,GAME 43ZZZZZZZZZZZZZ,G43ZZ,1,34.62,3.12,41.54,2024-04-04 09:27:43
50,30,GAME 30ZZZZZZZZZZZZZ,G30ZZ,2,94.62,8.52,113.54,2024-04-20 03:49:38
